Condition,Finished,Q1_C1,Q2_C1,Q3_C1,Q4_C1,Q5_C1,Q6_C1,Q7_C1_v1,Q7_C1_v2,Q1_C2,Q2_C2,Q3_C2,Q4_C2,Q5_C2,Q6_C2,Q7_C2_v1,Q7_C2_v2,Q8,Q9,Q10,PowerC1,PowerC2,BiasC1,BiasC2,Q3,Q4,Q5,Q6,Power,Bias,PowMen
1,1,Power analysis ,4,0.05,0.8,0.3,50,NA,2,,NA,NA,NA,NA,NA,NA,NA,1,8,3,0.317802205,NA,-0.482197795,NA,0.05,0.8,0.3,50,0.317802205,-0.482197795,1
1,1,I will use a power analysis or go with the at-least-30-participants-per-condition rule.,3,0.05,0.8,0.5,30,NA,3,,NA,NA,NA,NA,NA,NA,NA,10,7,1,0.477896521,NA,-0.322103479,NA,0.05,0.8,0.5,30,0.477896521,-0.322103479,1
1,1,"The design of the experiment; the time of year (i.e., end of the semester);",4,0.05,0.7,0.2,25,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,8,1,0.106581448,NA,-0.593418552,NA,0.05,0.7,0.2,25,0.106581448,-0.593418552,0
2,1,,NA,NA,NA,NA,NA,NA,NA,Based on power analysis and feasibility constraints with any given population,3,0.05,0.8,0.5,25,3,NA,1,5,4,NA,0.410100332,NA,-0.389899668,0.05,0.8,0.5,25,0.410100332,-0.389899668,0
1,1,,3,0.09,0.5,0.4,30,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,6,1,0.434933484,NA,-0.065066516,NA,0.09,0.5,0.4,30,0.434933484,-0.065066516,0
1,1,Statistical power,4,0.05,0.8,0.2,200,3,NA,,NA,NA,NA,NA,NA,NA,NA,5,7,6,0.514081637,NA,-0.285918363,NA,0.05,0.8,0.2,200,0.514081637,-0.285918363,1
1,1,,4,0.05,0.7,0.4,35,NA,3,,NA,NA,NA,NA,NA,NA,NA,1,7,6,0.37833074,NA,-0.32166926,NA,0.05,0.7,0.4,35,0.37833074,-0.32166926,0
1,1,"I adopt the rule of thumb to try to guarantee at least 30 subjects per condition. Though, where possible I try together data from as many subjects as are available.",4,0.07,0.9,0.4,30,NA,3,,NA,NA,NA,NA,NA,NA,NA,8,5,2,0.388376495,NA,-0.511623505,NA,0.07,0.9,0.4,30,0.388376495,-0.511623505,0
1,1,"Power analysis in advance, before I recruit my participants.",4,0.05,0.8,0.2,60,3,NA,,NA,NA,NA,NA,NA,NA,NA,3,8,1,0.192374646,NA,-0.607625354,NA,0.05,0.8,0.2,60,0.192374646,-0.607625354,1
1,1,"I usually aim for 20 - 25 participants per cell of the experimental design, which is typically what it takes to detect a medium effect size with .80 probability.  My answer to the next question is based on the assumption that the experiment would be a standard two-cell design.",3,0.05,0.8,0.4,25,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,7,4,0.28339873,NA,-0.51660127,NA,0.05,0.8,0.4,25,0.28339873,-0.51660127,0
1,1,"By a practical balance with practical constraints (i.e. available founding), and expected sample size to detect the effect of interest. ",4,0.05,0.8,0.05,75,3,NA,,NA,NA,NA,NA,NA,NA,NA,8,9,5,0.060667132,NA,-0.739332868,NA,0.05,0.8,0.05,75,0.060667132,-0.739332868,0
2,1,,NA,NA,NA,NA,NA,NA,NA,,4,0.7,0.8,0.2,60,NA,2,10,5,2,NA,0.830459994,NA,0.030459994,0.7,0.8,0.2,60,0.830459994,0.030459994,0
1,1,Power analysis such that I have an 80% chance or better of detecting my target effect size. ,4,0.9,0.8,0.4,40,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,8,3,0.979636947,NA,0.179636947,NA,0.9,0.8,0.4,40,0.979636947,0.179636947,1
1,1,"power analysis, pre-experiments",3,0.05,0.8,0.5,16,3,NA,,NA,NA,NA,NA,NA,NA,NA,7,5,3,0.277744524,NA,-0.522255476,NA,0.05,0.8,0.5,16,0.277744524,-0.522255476,1
1,1,"Power analysis, or look at how much data is required in order to get stable parameter estimates for the model of interest.",4,0.01,0.8,0.5,95,NA,3,,NA,NA,NA,NA,NA,NA,NA,9,7,3,0.799468851,NA,-0.000531149,NA,0.01,0.8,0.5,95,0.799468851,-0.000531149,1
1,1,Power Analysis and examination of what is done in published research studies on the same topic.,4,0.05,0.8,0.5,35,1,NA,,NA,NA,NA,NA,NA,NA,NA,8,7,6,0.540687916,NA,-0.259312084,NA,0.05,0.8,0.5,35,0.540687916,-0.259312084,1
2,1,,NA,NA,NA,NA,NA,NA,NA,"I look at whether there's a power analysis, and the power analysis was appropriately done (not coming up with a tortured justification for as small a sample size as possible)",4,0.05,0.8,0.4,100,3,NA,8,8,5,NA,0.803647504,NA,0.003647504,0.05,0.8,0.4,100,0.803647504,0.003647504,0
1,1,"My ideal N is always based on an estimate of the effect size, and the alpha and beta errors I consider as adequate. The actual N however is often smaller due to restrictions in terms of participant money, participants available and lab space. ",2,0.05,0.8,0.5,40,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,8,5,0.598146901,NA,-0.201853099,NA,0.05,0.8,0.5,40,0.598146901,-0.201853099,1
2,1,,NA,NA,NA,NA,NA,NA,NA,"Recently, journal published by the Psychonomic Society requires that submitted papers include a power analysis. I think that is a very wise decision; as a reviewer I take critical look at the power calculation (if such a calculation is available). In addition, it would be good if researchers could focus on the desired precision of the effect they are going to estimate in their study (see Geff Cumming). ",4,0.05,0.8,0.3,50,NA,3,2,8,4,NA,0.317802205,NA,-0.482197795,0.05,0.8,0.3,50,0.317802205,-0.482197795,0
1,1,I use secondary  data analysis of large-scale longitudinal data (N >5000) for virtually all my research,4,0.05,0.85,0.4,100,3,NA,,NA,NA,NA,NA,NA,NA,NA,1,4,3,0.803647504,NA,-0.046352496,NA,0.05,0.85,0.4,100,0.803647504,-0.046352496,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"There is no easy answer. This depends on the kind of study, the methods, the design, the field, the subject looked at, and the aim of the study. E.g. a clinical study assessing a rare desease could be great with only 10 participants, while for a simple questionnaire in a wide field 100 participants might be not enough.  /  / The same answer holds true for your next question: The ""between subjects design"" does not tell me enough of the background of the study/studies to decide. I am very sorry that I have to give an answer-therefore please consider this answer as ""not given""!",4,0,0,0,0,NA,4,2,3,1,NA,NA,NA,NA,0,0,0,0,NA,NA,0
2,1,,NA,NA,NA,NA,NA,NA,NA,,4,0.05,0.8,0.5,20,3,NA,10,7,5,NA,0.337939029,NA,-0.462060971,0.05,0.8,0.5,20,0.337939029,-0.462060971,0
1,1,"I typically conduct an a prior power analysis. From there I collect as many subjects as I can. I work at a small university, so this often takes multiple semesters. Additionally, I do look at my data at the end of each semester and, if minimum sample sizes have been reached (at least n = 20 per cell) and the effects I am looking for are there, I will stop data collection.",1,0.05,0.8,0.3,20,NA,3,,NA,NA,NA,NA,NA,NA,NA,10,7,2,0.15226828,NA,-0.64773172,NA,0.05,0.8,0.3,20,0.15226828,-0.64773172,1
1,1,power analysis evt. based on pilot study / ,2,0.5,0.9,0.5,10,3,NA,,NA,NA,NA,NA,NA,NA,NA,2,7,4,0.705810426,NA,-0.194189574,NA,0.5,0.9,0.5,10,0.705810426,-0.194189574,1
1,1,Using the convention established by others,3,0.05,0.8,0.3,30,NA,2,,NA,NA,NA,NA,NA,NA,NA,10,7,1,0.207851772,NA,-0.592148228,NA,0.05,0.8,0.3,30,0.207851772,-0.592148228,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"Depending on the design of the study, using categorical or continuous variables, I assess N < 20 (per cell) as a small sample size.",3,0.05,0.8,0.04,20,NA,3,6,7,2,NA,0.05174411,NA,-0.74825589,0.05,0.8,0.04,20,0.05174411,-0.74825589,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"I look at A) whether it meets field-accepted standards (e.g. 16 per cell in infant work), B) at measures of variability, e.g. SD, C) at measures of estimate precision (SEM/95% CI), and at ability to fit the appropriate model (e.g. regression). ",3,0.05,0.8,0.6,32,3,NA,3,8,3,NA,0.656434709,NA,-0.143565291,0.05,0.8,0.6,32,0.656434709,-0.143565291,0
1,1,I have tried to replicate the higher sample size used in similar studies,4,0.5,0.05,0.8,100,NA,3,,NA,NA,NA,NA,NA,NA,NA,8,6,2,0.999999681,NA,0.949999681,NA,0.5,0.05,0.8,100,0.999999681,0.949999681,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"By looking at the N, the p-value and the effect size.",1,0.05,0.75,0.35,25,3,NA,6,7,2,NA,0.22822489,NA,-0.52177511,0.05,0.75,0.35,25,0.22822489,-0.52177511,0
1,1,"Power, availability, past levels of attrition. ",4,0.05,0.8,0.15,200,NA,1,,NA,NA,NA,NA,NA,NA,NA,8,9,3,0.321747078,NA,-0.478252922,NA,0.05,0.8,0.15,200,0.321747078,-0.478252922,1
1,1,I work with large available databases and based on the research question I conduct a power analysis,3,0.05,0.8,0.2,500,NA,3,,NA,NA,NA,NA,NA,NA,NA,7,8,6,0.884788506,NA,0.084788506,NA,0.05,0.8,0.2,500,0.884788506,0.084788506,1
2,1,,NA,NA,NA,NA,NA,NA,NA,"I try to estimate a reasonable effect size from the literature and then see if the sample size in question had a reasonable chance of detecting that effect.  All other things being equal, a correlation of .20 is not a bad point estimate.  So hopefully the sample could detect that size correlation.  I get nervous about complex interactions and would like to see much larger samples than most people use.",4,0.05,0.8,0.4,100,NA,3,8,4,6,NA,0.803647504,NA,0.003647504,0.05,0.8,0.4,100,0.803647504,0.003647504,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"I think sample size is rather a quantitative aspect than a qualitative, in the sense that a larger sample is more likely to provide conclusive evidence. I would even favour a smaller study, if the overall design is better. For example in many contexts, a representative sample of 200 is clearly prefereable to a convenience sample (say of university students) of size 400. /  / In general, I would base all sample size considerations on a priori power calculations. /  / PS: the second question is a bit confusing. Do you mean ""5 arms"" when you mean ""5 studies""? Or do you mean ""5 replications"" of the same experiment? I took it to mean ""5 studies"" in the sense of independent replications like in a meta-analysis.",2,0.05,0.8,0.5,30,NA,3,9,8,2,NA,0.477896521,NA,-0.322103479,0.05,0.8,0.5,30,0.477896521,-0.322103479,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"It depends on the journal and the amount of information provided. IN journals like Psych Science, it is impossible to assess it - I base it on the general norms in the field.",3,0.05,0.5,0.3,40,3,NA,10,7,2,NA,0.263283556,NA,-0.236716444,0.05,0.5,0.3,40,0.263283556,-0.236716444,0
1,1,"I carry out simulations, rather than with individuals. The simple size should be as large as posible; power analysis are relevant for statistical signifcance only, but not for effect sizes.",3,0.05,0.8,0.5,30,3,NA,,NA,NA,NA,NA,NA,NA,NA,9,9,3,0.477896521,NA,-0.322103479,NA,0.05,0.8,0.5,30,0.477896521,-0.322103479,1
1,1,"Experimental studies with expected large effects, I normally choose n = 20 per cell.  For moderate effects, I normally choose n = 30 per cell.  For correlational studies, I normally aim for at least 100 participants.",2,0.05,0.8,0.6215983,20,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,8,3,0.482480394,NA,-0.317519606,NA,0.05,0.8,0.6215983,20,0.482480394,-0.317519606,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"If information is provided on the estimated size of the effect that the study is testing (which it almost never is), I assess the sample relative to the N needed to find effects of that size.  I also assess the sample in the context of the type of study.  For example, for a questionnaire study on undergrads I would expect a much larger sample size than a 2-year longitudinal fMRI study on anxious children (b/c it's harder to get/retain participants over time, it's harder to get anxious children, and the cost of fMRI is higher).  The reason I do so is that, for some study types, it would be prohibitive to get the large sample size that we'd all like.  Thus, for this research to be done at all, I think we can accept a lower standard.  In addition, b/c the cost of such studies is so high (even for small samples), it tends to exclude more junior researchers (b/c only established researchers with large grants have the resources).   /  / For the sake of transparency, I should note that I'm a junior researcher who studies clinical populations and adolescents with fMRI (and sometime longitudinally).  ",3,0.05,0.8,0.8,20,3,NA,1,9,3,NA,0.693404197,NA,-0.106595803,0.05,0.8,0.8,20,0.693404197,-0.106595803,0
1,1,,3,0.05,0.8,0.5,25,NA,2,,NA,NA,NA,NA,NA,NA,NA,10,5,1,0.410100332,NA,-0.389899668,NA,0.05,0.8,0.5,25,0.410100332,-0.389899668,0
1,1,Based first on effect size and power which can usually be found in prior research published. Second consideration is feasibility which factors in recruitment timetable and cost.,4,0.05,0.95,0.2,35,3,NA,,NA,NA,NA,NA,NA,NA,NA,1,5,2,0.130849707,NA,-0.819150293,NA,0.05,0.95,0.2,35,0.130849707,-0.819150293,1
1,1,,4,0.05,0.8,0.2,25,3,NA,,NA,NA,NA,NA,NA,NA,NA,2,5,2,0.106581448,NA,-0.693418552,NA,0.05,0.8,0.2,25,0.106581448,-0.693418552,0
1,1,Power analysis,4,0.05,0.8,0.5,64,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,5,6,0.801459558,NA,0.001459558,NA,0.05,0.8,0.5,64,0.801459558,0.001459558,1
1,1,"Use G*Power to determine the sample size large enough to detect the ""average"" effect size in social/personality research, i.e. .3. ",4,0.05,0.8,0.3,150,NA,3,,NA,NA,NA,NA,NA,NA,NA,10,7,2,0.735567431,NA,-0.064432569,NA,0.05,0.8,0.3,150,0.735567431,-0.064432569,1
2,1,,NA,NA,NA,NA,NA,NA,NA,"it mainly depends on the sample characteristics: more is (almost always) better, but that may be more difficult with certain populations or certain research designs.",3,0.05,0.8,0.2,30,NA,4,3,7,2,NA,0.118679436,NA,-0.681320564,0.05,0.8,0.2,30,0.118679436,-0.681320564,0
1,1,In advance based on previous research indicative of likely effect sizes,3,0.05,0.85,0.4,50,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,7,5,0.508185735,NA,-0.341814265,NA,0.05,0.85,0.4,50,0.508185735,-0.341814265,0
2,1,,NA,NA,NA,NA,NA,NA,NA,Compare it to similar studies & take into account the sample size requirements of the respective statistical analyses,3,0.05,0.3,0.4,40,3,NA,8,6,1,NA,0.423521152,NA,0.123521152,0.05,0.3,0.4,40,0.423521152,0.123521152,0
2,1,,NA,NA,NA,NA,NA,NA,NA,Based on rules of thumb and common sense.,3,0.05,0.5,0.3,20,NA,3,8,8,2,NA,0.15226828,NA,-0.34773172,0.05,0.5,0.3,20,0.15226828,-0.34773172,0
1,1,"In the past, I have always assumed at least 100 participants. Now I shoot for that number.",4,0.05,0.8,0.5,35,NA,3,,NA,NA,NA,NA,NA,NA,NA,8,6,3,0.540687916,NA,-0.259312084,NA,0.05,0.8,0.5,35,0.540687916,-0.259312084,0
1,1,"I target N = 200 if I can get it; try not to fall below 120. These numbers, I have found, offer sufficient power to detect effects at p < .05 that are also of practical significance in the areas in which I do research.",4,0.05,0.7,0.4,20,NA,3,,NA,NA,NA,NA,NA,NA,NA,6,8,3,0.234349401,NA,-0.465650599,NA,0.05,0.7,0.4,20,0.234349401,-0.465650599,0
1,1,I perform a-priori power analyses,4,0.05,0.6,0.2,50,NA,2,,NA,NA,NA,NA,NA,NA,NA,6,7,3,0.167675486,NA,-0.432324514,NA,0.05,0.6,0.2,50,0.167675486,-0.432324514,1
1,1,"It is usually based on how many participants we manage to get based on our available resources, such as the availability of credit subjects and funding.",3,0.05,0.95,0.5,20,NA,2,,NA,NA,NA,NA,NA,NA,NA,10,4,1,0.337939029,NA,-0.612060971,NA,0.05,0.95,0.5,20,0.337939029,-0.612060971,0
1,1,Most usually by reference to previous studies using the same or similar paradigms.,4,0.05,0.8,0.5,12,NA,2,,NA,NA,NA,NA,NA,NA,NA,2,7,5,0.216143073,NA,-0.583856927,NA,0.05,0.8,0.5,12,0.216143073,-0.583856927,0
1,1,,2,0.05,0.8,0.25,20,4,NA,,NA,NA,NA,NA,NA,NA,NA,10,6,1,0.120335368,NA,-0.679664632,NA,0.05,0.8,0.25,20,0.120335368,-0.679664632,0
1,1,,4,0.05,0.8,0.5,25,3,NA,,NA,NA,NA,NA,NA,NA,NA,6,9,5,0.410100332,NA,-0.389899668,NA,0.05,0.8,0.5,25,0.410100332,-0.389899668,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"The weaker the effect the higher the sample size must be. If authors report a clear significant effect, n = 20 is sufficient.  ",3,0.05,0.7,0.4,20,NA,3,2,7,2,NA,0.234349401,NA,-0.465650599,0.05,0.7,0.4,20,0.234349401,-0.465650599,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"I consider a number of factors--effect sizes, measurement quality and reliability, and type of analysis. I also consider whether the authors are making strong or weak empirical claims, whether they are reporting new effects versus replications, and whether they are focusing on significant or non-significant tests (e.g., ruling out a certain effect).",4,0.05,0.7,0.4,50,NA,3,3,8,4,NA,0.508185735,NA,-0.191814265,0.05,0.7,0.4,50,0.508185735,-0.191814265,0
2,1,,NA,NA,NA,NA,NA,NA,NA,,3,0.05,0.8,0.3,85,NA,3,3,8,3,NA,0.493908188,NA,-0.306091812,0.05,0.8,0.3,85,0.493908188,-0.306091812,0
2,1,,NA,NA,NA,NA,NA,NA,NA,yes,1,0.05,0.2,0.3,16,NA,1,3,5,2,NA,0.130191369,NA,-0.069808631,0.05,0.2,0.3,16,0.130191369,-0.069808631,0
1,1,I make a quick calculation but our sample sizes are also influenced by the availability of the participants that we need,3,0.05,0.8,0.5,30,3,NA,,NA,NA,NA,NA,NA,NA,NA,1,5,2,0.477896521,NA,-0.322103479,NA,0.05,0.8,0.5,30,0.477896521,-0.322103479,1
1,1,Either a power analysis based on earlier studies that used the same experiment or the same sample size as in earlier studies that used the same manipulation (for instance pharmacological challenge).,3,0.05,0.8,0.5,32,3,NA,,NA,NA,NA,NA,NA,NA,NA,7,7,3,0.503638167,NA,-0.296361833,NA,0.05,0.8,0.5,32,0.503638167,-0.296361833,1
2,1,,NA,NA,NA,NA,NA,NA,NA,standard deviations and standard errors compared to what I'd expect for reasonable differences between means given the tested theory,4,0.05,0.8,0.5,100,NA,3,2,8,5,NA,0.940427204,NA,0.140427204,0.05,0.8,0.5,100,0.940427204,0.140427204,0
2,1,,NA,NA,NA,NA,NA,NA,NA,"For between-subject designs are sample should not be too small (<50), but replication within one study is better than a higher total sample",3,0.05,0.8,0.3,50,3,NA,8,8,4,NA,0.317802205,NA,-0.482197795,0.05,0.8,0.3,50,0.317802205,-0.482197795,0
1,1,Guidelines and sample size calculation (GPower),4,0.05,0.8,0.5,10,1,NA,,NA,NA,NA,NA,NA,NA,NA,3,7,2,0.185095656,NA,-0.614904344,NA,0.05,0.8,0.5,10,0.185095656,-0.614904344,1
1,1,power analysis ,4,0.05,0.8,0.13,40,NA,3,,NA,NA,NA,NA,NA,NA,NA,5,7,1,0.088552015,NA,-0.711447985,NA,0.05,0.8,0.13,40,0.088552015,-0.711447985,1
1,1,,1,0.5,0.5,0.05,20,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,6,3,0.505298155,NA,0.005298155,NA,0.5,0.5,0.05,20,0.505298155,0.005298155,0
1,1,"If designing a fresh study, try to have a min of 200 participants, which provides 80% power to detect an effect comparable to a correlation of .20. In web studies, we typically just leave a survey/study online until we're ready to deal with it. This leads to variable (and large) sample sizes, but the number isn't pre-determined. In many studies we're analyzing data from longitudinal datasets not designed by our team; we have no control over those N's. ",4,0.05,0.8,0.4,100,NA,3,,NA,NA,NA,NA,NA,NA,NA,8,7,5,0.803647504,NA,0.003647504,NA,0.05,0.8,0.4,100,0.803647504,0.003647504,0
1,1,With help from Statisticians,4,0.95,0.8,0.5,50,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,6,2,0.99779401,NA,0.19779401,NA,0.95,0.8,0.5,50,0.99779401,0.19779401,0
2,1,,NA,NA,NA,NA,NA,NA,NA,Haven't reviewed,3,0.05,0.85,0.2,20,3,NA,3,7,1,NA,0.094567328,NA,-0.755432672,0.05,0.85,0.2,20,0.094567328,-0.755432672,0
1,1,"Because I study Latino issues, recruiting participants and retaining them is always an issue. I have used power analyses to calculate sample size in the past, but I have also just try my best to recruit at least over 200 participants and collect rich data that can add to the current literature and hope that a journal will see the significance of the study. ",4,0.05,0.8,0.2,25,NA,3,,NA,NA,NA,NA,NA,NA,NA,3,6,3,0.106581448,NA,-0.693418552,NA,0.05,0.8,0.2,25,0.106581448,-0.693418552,1
2,1,,NA,NA,NA,NA,NA,NA,NA,"power analysis, assumed effect size ",4,0.05,0.8,0.3,90,3,NA,1,6,4,NA,0.516641647,NA,-0.283358353,0.05,0.8,0.3,90,0.516641647,-0.283358353,0
2,1,,NA,NA,NA,NA,NA,NA,NA,Power analysis if possible,3,0.01,0.8,0.35,20,3,NA,1,6,6,NA,0.064838056,NA,-0.735161944,0.01,0.8,0.35,20,0.064838056,-0.735161944,0
